2025-03-24 18:13:14,257 - root - INFO - Logging system initialized
2025-03-24 18:13:14,258 - utils.process_manager - INFO - ProcessManager initialized
2025-03-24 18:13:16,119 - utils.ai_manager - INFO - AI models initialized successfully
2025-03-24 18:14:13,687 - root - INFO - Logging system initialized
2025-03-24 18:14:13,688 - utils.process_manager - INFO - ProcessManager initialized
2025-03-24 18:14:14,881 - utils.ai_manager - INFO - AI models initialized successfully
2025-03-24 18:14:22,397 - utils.process_manager - WARNING - Error getting process info for PID 8028: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,409 - utils.process_manager - WARNING - Error getting process info for PID 8312: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,436 - utils.process_manager - WARNING - Error getting process info for PID 8928: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,443 - utils.process_manager - WARNING - Error getting process info for PID 9040: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,456 - utils.process_manager - WARNING - Error getting process info for PID 9312: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,499 - utils.process_manager - WARNING - Error getting process info for PID 9636: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,506 - utils.process_manager - WARNING - Error getting process info for PID 9648: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,519 - utils.process_manager - WARNING - Error getting process info for PID 9888: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,539 - utils.process_manager - WARNING - Error getting process info for PID 10232: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,539 - utils.process_manager - WARNING - Error getting process info for PID 10272: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,568 - utils.process_manager - WARNING - Error getting process info for PID 10552: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,597 - utils.process_manager - WARNING - Error getting process info for PID 11124: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,653 - utils.process_manager - WARNING - Error getting process info for PID 12044: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,666 - utils.process_manager - WARNING - Error getting process info for PID 12364: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,666 - utils.process_manager - WARNING - Error getting process info for PID 12412: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,666 - utils.process_manager - WARNING - Error getting process info for PID 12432: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,667 - utils.process_manager - WARNING - Error getting process info for PID 12752: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,675 - utils.process_manager - WARNING - Error getting process info for PID 12936: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,675 - utils.process_manager - WARNING - Error getting process info for PID 12968: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,675 - utils.process_manager - WARNING - Error getting process info for PID 12996: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,704 - utils.process_manager - WARNING - Error getting process info for PID 13556: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,711 - utils.process_manager - WARNING - Error getting process info for PID 13736: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,847 - utils.process_manager - WARNING - Error getting process info for PID 15972: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,859 - utils.process_manager - WARNING - Error getting process info for PID 16300: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,879 - utils.process_manager - WARNING - Error getting process info for PID 17020: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,887 - utils.process_manager - WARNING - Error getting process info for PID 17064: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:22,993 - utils.process_manager - WARNING - Error getting process info for PID 19396: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:23,044 - utils.process_manager - WARNING - Error getting process info for PID 20788: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:23,063 - utils.process_manager - WARNING - Error getting process info for PID 21992: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:26,838 - utils.process_manager - WARNING - Error getting process info for PID 0: (87, 'OpenProcess', 'The parameter is incorrect.')
2025-03-24 18:14:26,838 - utils.process_manager - WARNING - Error getting process info for PID 4: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:26,839 - utils.process_manager - WARNING - Error getting process info for PID 188: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:26,839 - utils.process_manager - WARNING - Error getting process info for PID 232: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:26,839 - utils.process_manager - WARNING - Error getting process info for PID 760: (5, 'OpenProcess', 'Access is denied.')
2025-03-24 18:14:26,839 - utils.process_manager - WARNING - Error getting process info for PID 940: (5, 'OpenProcess', 'Access is denied.')
